cluster_id,query_cluster,target_canonical,country,device,action_date,intervention_type,hypothesis,baseline_source,last_outcome,next_allowed_intervention,commit,rollback,notes
QL015,düşünce kaydı nedir nasıl tutulur,https://www.atapamukcu.com/dusunce-kaydi,TUR,mobile,2026-09-05,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: düşünce kaydı nedir nasıl tutulur
QL016,TSSB nedir,https://www.atapamukcu.com/tssb,TUR,mobile,2026-09-05,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: TSSB nedir ve travma sonrası stres bozukluğu belirtileri
QL017,sosyal fobi nedir,https://www.atapamukcu.com/sosyal-fobi,TUR,mobile,2026-09-06,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: sosyal fobi nedir
QL018,sosyal kaygı neden olur,https://www.atapamukcu.com/sosyal-kaygi-neden-olur,TUR,mobile,2026-09-06,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: sosyal kaygı neden olur
QL019,uyku sorunları,https://www.atapamukcu.com/uyku-sorunlari,TUR,mobile,2026-09-07,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: uyku sorunları ve uykusuzluk sorgu kümesi
QL020,anda kalma nedir,https://www.atapamukcu.com/anda-kalma,TUR,mobile,2026-09-07,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: anda kalma ve mindfulness sorgu kümesi
QL021,Antalya kaygı psikolog,https://www.atapamukcu.com/antalya-kaygi-psikolog,TUR,mobile,2026-09-08,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: Antalya kaygı psikolog
QL022,Antalya panik atak psikolog,https://www.atapamukcu.com/antalya-panik-atak-psikolog,TUR,mobile,2026-09-08,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: Antalya panik atak psikolog
QL023,uçak korkusu nasıl yenilir,https://www.atapamukcu.com/ucak-korkusu,TUR,mobile,2026-09-08,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: uçak korkusu nasıl yenilir
QL024,takıntı hastalığı,https://www.atapamukcu.com/takinti-hastaligi,TUR,mobile,2026-09-08,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: takıntı hastalığı
QL025,psikolojik süreç haritası,https://www.atapamukcu.com/psikolojik-surec-haritasi,TUR,mobile,2026-09-09,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: psikolojik süreç haritası
QL026,terapi sürecinde döngü analizi,https://www.atapamukcu.com/terapi-surecinde-dongu-analizi,TUR,mobile,2026-09-09,content_eaat_aeo,Close a documented intent/trust gap without changing the URL or canonical.,site_quality_inventory,,different_class_after_28d,,,Migrated from measurements.csv: terapi sürecinde döngü analizi
QL027,ilişki sorunları,https://www.atapamukcu.com/iliski-sorunlari,TUR,mobile,2026-09-10,content_eaat_aeo,"Improve intent coverage, source transparency and online-service scope.",staged_quality_inventory,,different_class_after_28d,59feae4,git revert 59feae4,Local staging only; not deployed.
QL028,panik bozukluk nedir,https://www.atapamukcu.com/panik-bozukluk,TUR,mobile,2026-09-11,content_eaat_aeo,"Make existing clinical claims verifiable and answer-ready by aligning visible sources, safety scope, Article citations and speakable selectors without changing the URL or canonical.",staged_quality_inventory,,different_class_after_28d,3ccbe34,git revert 3ccbe34,Local staging only; not deployed. Exact GSC query metrics UNKNOWN; quality score 75 to 100.
QL029,psikoloji 3.0 nedir,https://www.atapamukcu.com/psikoloji-3,TUR,all,2026-09-12,content_eaat_aeo,"Clarify the editorial framework and make its process-based claims verifiable and answer-ready through visible authorship, dates, sources, citations and internal reading paths without changing the URL or canonical.",staged_quality_inventory,,different_class_after_28d,e706b9a,git revert e706b9a,Local staging only; not deployed. Exact GSC query metrics UNKNOWN; quality score 67 to 100.
QL030,psikolojik desteğe nasıl başlanır,https://www.atapamukcu.com/baslangic,TUR,all,2026-09-15,content_decision_trust,"Answer first-contact and provider-selection questions with neutral criteria, explicit online suitability boundaries, verifiable sources and visible authorship so first-time help seekers can make an informed next-step decision without changing the URL or primary search intent.","2026-09-15 daily-opportunity package; GSC fresh, exact query+URL metrics absent/UNKNOWN; verified site-quality inventory 67/100",,different_class_after_28d,bf79971,git revert bf79971,"Released from individually reviewed staging commit cfdf154. Old: 202-word WebPage with no visible author/date/sources/FAQ and generic emergency wording. New: 703-word Article with neutral selection criteria, online-only suitability and 112 boundary, visible author/date, verified sources, matching FAQ/citations/speakable; canonical/title/H1 preserved. Risk: broader informational copy may dilute first-step CTA; rollback bf79971. Local verification PASS; quality 67 to 100. Reviews: 2026-09-29 / 2026-10-13 / 2026-11-10."
QL031,gizlilik ve analitik tercihleri,https://www.atapamukcu.com/gizlilik,TUR,all,2026-09-14,technical_semantic_structure,"Add visible breadcrumb navigation and matching WebPage/BreadcrumbList structured data so search and answer systems can interpret the privacy page hierarchy and entity relationships without changing its URL, canonical, policy claims or consent behavior.",staged_quality_inventory,,different_class_after_28d,e97e165,git revert e97e165,Local staging only; not deployed. GSC is fresh and available but exact query+URL metrics are absent from the daily package and therefore UNKNOWN; quality score 75 to 92. Reviews: 2026-09-28 / 2026-10-12 / 2026-11-09.
